age,workclass,fnlwgt,education,maritial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37, Self-emp-not-inc,162834, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,0,1902,45, United-States,>50K
49, Private,157272, HS-grad, Separated, Sales, Unmarried, White, Male,0,0,50, United-States,<=50K
42, Local-gov,147510, Bachelors, Separated, Prof-specialty, Unmarried, White, Male,0,0,40, United-States,<=50K
38, Self-emp-not-inc,280169, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,7298,0,50, United-States,>50K
60, Private,320376,7th-8th, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States,<=50K
35, Self-emp-not-inc,185621, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,<=50K
47, Federal-gov,119199, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,<=50K
42, Private,376072, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,30, United-States,<=50K
37, Private,191754, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States,>50K
41, Self-emp-not-inc,66632, Some-college, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=50K
42, Local-gov,137232, HS-grad, Divorced, Protective-serv, Unmarried, White, Female,0,0,50, United-States,<=50K
50, Private,99392, Some-college, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States,<=50K
36, Private,35945, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,>50K
52, Self-emp-inc,81436, Prof-school, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,>50K
19, Private,217039, Some-college, Never-married, Adm-clerical, Own-child, White, Male,0,0,28, United-States,<=50K
48, Private,140782, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1902,38, United-States,>50K
40, Private,279679, Some-college, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States,<=50K
51, Private,168660,11th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,<=50K
31, Private,101761, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,51, United-States,<=50K
41, Local-gov,81054, Some-college, Divorced, Exec-managerial, Unmarried, White, Female,0,0,25, United-States,<=50K
26, Private,133766, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States,<=50K
80, Self-emp-not-inc,34340,7th-8th, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,35, United-States,<=50K
33, Private,35378, Bachelors, Married-civ-spouse, Sales, Wife, White, Female,0,0,45, United-States,>50K
41, Private,327723, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,<=50K
68, Self-emp-inc,182131, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,10605,0,20, United-States,>50K
29, Private,389713, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,>50K
26, Private,214413,11th, Never-married, Machine-op-inspct, Unmarried, White, Male,6497,0,48, United-States,<=50K
37, Self-emp-not-inc,362062, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,50, United-States,>50K
38, Private,186934, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,<=50K
56, Private,184553,10th, Divorced, Craft-repair, Not-in-family, White, Male,0,0,56, United-States,<=50K
34, Private,72793, Bachelors, Never-married, Other-service, Not-in-family, White, Female,0,0,15, United-States,<=50K
30, Private,101266, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,<=50K
55, Private,199763, HS-grad, Separated, Protective-serv, Not-in-family, White, Male,0,0,81, United-States,<=50K
21, Private,68358, Some-college, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,<=50K
31, Private,178841, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
59, Private,145574,11th, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,<=50K
67, Self-emp-not-inc,191380, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,20051,0,25, United-States,>50K
26, Private,473625, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female,0,0,30, United-States,<=50K
30, Federal-gov,319280, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=50K
53, Private,117814, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, United-States,<=50K
50, Self-emp-inc,127315, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,>50K
61, Private,230568, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,>50K
26, Private,248990, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico,<=50K
51, Private,154949, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States,<=50K
48, Private,182313, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,<=50K
17, Private,375657,11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States,<=50K
38, Private,110402, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,<=50K
26, Federal-gov,185885, Some-college, Never-married, Adm-clerical, Unmarried, White, Female,0,0,15, United-States,<=50K
28, Self-emp-inc,80158, HS-grad, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States,<=50K
27, Private,174419, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,<=50K
34, Private,62374, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States,<=50K
38, Private,81965, Assoc-voc, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,<=50K
29, Private,178272, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,<=50K
24, Private,210781, Bachelors, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, France,<=50K
51, Private,163948, Assoc-voc, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,>50K
42, Local-gov,142756, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,<=50K
38, Private,318610, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,<=50K
59, Private,32954, Assoc-voc, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,36, United-States,<=50K
22, Self-emp-inc,150683, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,24, United-States,<=50K
74, Private,260669,10th, Divorced, Other-service, Not-in-family, White, Female,0,0,1, United-States,<=50K
37, State-gov,252939, Assoc-voc, Never-married, Prof-specialty, Unmarried, Black, Female,5455,0,40, United-States,<=50K
22, Private,100345, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States,<=50K
45, Private,149640, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
25, Private,176047, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,2176,0,40, United-States,<=50K
40, Self-emp-not-inc,277488, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male,0,0,84, United-States,<=50K
25, Private,193379, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States,<=50K
22, Private,228752, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,<=50K
28, State-gov,52636, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,<=50K
49, Self-emp-not-inc,43479, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
37, State-gov,239409, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,>50K
30, Self-emp-not-inc,176185, Some-college, Married-spouse-absent, Craft-repair, Own-child, White, Male,0,0,60, United-States,>50K
32, Private,132601, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,>50K
28, Private,85812, Some-college, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States,<=50K
34, Private,300681, Some-college, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, Jamaica,>50K
51, Private,197163, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female,0,2559,50, United-States,>50K
27, Private,175262, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States,<=50K
25, Private,25249, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
36, Local-gov,217414, Some-college, Divorced, Protective-serv, Unmarried, White, Male,0,0,55, United-States,<=50K
43, Private,105188, HS-grad, Never-married, Other-service, Not-in-family, Black, Male,0,0,40, Haiti,<=50K
57, Private,173580, Some-college, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States,<=50K
51, Private,84399, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States,<=50K
38, Private,111499, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,50, United-States,>50K
38, Local-gov,194630, Bachelors, Never-married, Protective-serv, Not-in-family, White, Female,4787,0,43, United-States,>50K
47, Private,145868,11th, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States,<=50K
60, Local-gov,259803, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States,>50K
39, Private,114591, Some-college, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,<=50K
41, Private,200652,9th, Divorced, Other-service, Other-relative, White, Female,0,0,35, United-States,<=50K
48, Private,70209, Some-college, Divorced, Prof-specialty, Unmarried, White, Female,0,0,20, United-States,<=50K
50, Private,198362, Assoc-voc, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,<=50K
22, Private,238917,1st-4th, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,24, Mexico,<=50K
43, Private,117158, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,>50K
17, Private,147339,10th, Never-married, Prof-specialty, Own-child, Other, Female,0,0,15, United-States,<=50K
31, Private,106437, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
58, Self-emp-not-inc,222311, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,7688,0,55, United-States,>50K
19, Private,298891,11th, Never-married, Sales, Not-in-family, White, Female,0,0,40, Honduras,<=50K
25, Private,161478, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,0,0,40, United-States,<=50K
41, Private,185660, HS-grad, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,<=50K
38, Local-gov,223004, Some-college, Divorced, Protective-serv, Not-in-family, White, Male,0,0,75, United-States,<=50K
29, Private,99369, Bachelors, Never-married, Prof-specialty, Not-in-family, Other, Female,0,0,50, United-States,<=50K
29, Private,236436, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
27, Private,137063, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,<=50K
22, Private,51362, Bachelors, Never-married, Sales, Not-in-family, White, Female,0,0,16, United-States,<=50K
45, Private,175262,9th, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander, Male,0,0,40, India,<=50K
50, Private,41890, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
51, State-gov,196504, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,38, United-States,<=50K
33, Private,272411, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,<=50K
59, Self-emp-not-inc,241297, Some-college, Widowed, Farming-fishing, Not-in-family, White, Female,6849,0,40, United-States,<=50K
48, Private,246891, Some-college, Widowed, Sales, Unmarried, White, Male,0,0,50, United-States,>50K
54, Private,165278, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,>50K
36, Private,198841, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,>50K
44, Private,205051,10th, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,<=50K
47, Local-gov,121124, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States,>50K
23, Private,117789, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States,<=50K
33, Local-gov,119829, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,60, United-States,<=50K
33, Private,83446,11th, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,>50K
44, Private,222635,5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States,<=50K
34, Private,128063, HS-grad, Divorced, Other-service, Unmarried, White, Female,0,0,36, United-States,<=50K
29, Private,53642, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,<=50K
26, Private,188767, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,<=50K
27, Private,200641,10th, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Mexico,<=50K
50, Private,176609, Some-college, Divorced, Other-service, Not-in-family, White, Male,0,0,45, United-States,<=50K
55, Local-gov,107308, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,>50K
39, Private,151023, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,114,0,45, United-States,<=50K
52, Private,170562, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,>50K
24, Private,222005, HS-grad, Never-married, Other-service, Other-relative, White, Male,0,0,30, United-States,<=50K
31, Self-emp-not-inc,340939, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, United-States,<=50K
57, Self-emp-not-inc,27385, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,10, United-States,<=50K
37, Private,150057, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States,>50K
44, Private,138845, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,<=50K
24, Private,190015, HS-grad, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,<=50K
29, Self-emp-not-inc,389857, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,>50K
24, Private,86745, Bachelors, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander, Female,0,0,16, United-States,<=50K
22, Private,122272, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,<=50K
33, Private,288273,12th, Separated, Adm-clerical, Unmarried, White, Female,1471,0,40, United-States,<=50K
23, Private,238092, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States,<=50K
41, Private,146659, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,70, United-States,<=50K
30, Private,162442, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female,7688,0,50, United-States,>50K
48, Private,202117,11th, Divorced, Other-service, Not-in-family, White, Female,0,0,34, United-States,<=50K
54, Private,101017,7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
68, Private,154897, HS-grad, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States,<=50K
59, Private,157305, Preschool, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Dominican-Republic,<=50K
26, Private,339952, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,<=50K
40, Private,76625, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States,<=50K
18, Private,135924, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States,<=50K
25, Private,104662, HS-grad, Never-married, Other-service, Unmarried, White, Female,0,0,22, United-States,<=50K
45, Private,84298, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1977,50, United-States,>50K
37, Private,140713, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, Jamaica,>50K
25, Private,124590, HS-grad, Never-married, Exec-managerial, Other-relative, White, Male,0,0,40, United-States,<=50K
29, Private,189565, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,2174,0,50, United-States,<=50K
25, State-gov,108542, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,<=50K
32, Private,391874, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
34, State-gov,227931, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States,<=50K
73, Self-emp-not-inc,190078, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States,<=50K
21, Private,190968, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,<=50K
50, Private,189183, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,<=50K
47, Private,187563, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,<=50K
34, State-gov,44464, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States,<=50K
42, Private,36271, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,>50K
26, Private,463194, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
27, Private,37599, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States,<=50K
54, Private,88019, Some-college, Divorced, Transport-moving, Not-in-family, White, Male,0,0,55, United-States,<=50K
22, Private,205839, Some-college, Never-married, Other-service, Not-in-family, White, Male,0,0,45, United-States,<=50K
21, Private,211301, Some-college, Never-married, Adm-clerical, Own-child, White, Female,0,0,8, United-States,<=50K
39, Private,189623, Bachelors, Divorced, Sales, Unmarried, White, Male,0,0,60, United-States,<=50K
46, Private,130364, HS-grad, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States,<=50K
41, Local-gov,177599, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,35, United-States,<=50K
36, Private,289190, HS-grad, Divorced, Craft-repair, Unmarried, White, Male,0,0,40, United-States,<=50K
47, Self-emp-not-inc,213668, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,50, United-States,>50K
25, Private,253267, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,1902,36, United-States,>50K
27, Private,134890, Bachelors, Never-married, Tech-support, Own-child, White, Male,0,0,50, United-States,<=50K
46, Private,353824, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,<=50K
27, Local-gov,298510, HS-grad, Divorced, Protective-serv, Own-child, White, Male,0,0,40, United-States,<=50K
39, Private,141802, Some-college, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,<=50K
41, Private,294270,9th, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States,<=50K
47, Local-gov,134671, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,<=50K
27, State-gov,23740, HS-grad, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,38, United-States,>50K
43, Self-emp-inc,150533, Assoc-voc, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,0,0,50, United-States,>50K
60, Private,238913, Bachelors, Married-civ-spouse, Sales, Husband, White, Male,0,0,46, United-States,>50K
43, Private,96421, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female,0,0,24, Outlying-US(Guam-USVI-etc),<=50K
35, Private,98986,7th-8th, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,30, United-States,<=50K
19, Private,236570, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,0,0,16, United-States,<=50K
17, Private,151141,11th, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,15, United-States,<=50K
45, Private,360393, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,50, United-States,>50K
24, Private,187115, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States,<=50K
33, Private,123253, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States,>50K
42, Private,195755, HS-grad, Separated, Craft-repair, Unmarried, White, Male,0,0,40, United-States,<=50K
18, Private,94196, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,25, United-States,<=50K
40, State-gov,269733, Assoc-voc, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=50K
33, Private,415706,5th-6th, Separated, Other-service, Unmarried, White, Female,0,0,40, Mexico,<=50K
25, Private,169124, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,<=50K
60, Private,39352,7th-8th, Never-married, Transport-moving, Not-in-family, White, Male,0,0,48, United-States,>50K
34, Private,208785, Assoc-acdm, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States,>50K
37, Private,389725,12th, Divorced, Craft-repair, Own-child, White, Male,0,0,35, United-States,<=50K
55, Private,185436, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States,>50K
50, Self-emp-not-inc,132716, Prof-school, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, United-States,>50K
62, Self-emp-not-inc,26857,7th-8th, Widowed, Farming-fishing, Other-relative, White, Female,0,0,35, United-States,<=50K
28, Private,411587, Some-college, Never-married, Protective-serv, Own-child, White, Male,0,0,40, Honduras,<=50K
18, Private,194561, Some-college, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,<=50K
40, Private,289403, Bachelors, Separated, Adm-clerical, Unmarried, Black, Male,0,0,35, United-States,<=50K
19, Private,128346, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,<=50K
34, Private,167781, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,0,0,50, United-States,<=50K
33, Private,154981, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1902,50, United-States,>50K
31, Private,169002, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,55, United-States,<=50K
23, Private,239375, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,<=50K
46, Federal-gov,219967, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,>50K
30, Private,174201, Some-college, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,<=50K
22, Private,231912, Assoc-voc, Never-married, Adm-clerical, Own-child, White, Female,0,0,37, United-States,<=50K
23, Private,217169, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,<=50K
32, Private,204742, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,>50K
39, Private,343476, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States,<=50K
25, Private,193820, Masters, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,<=50K
21, Private,262819, Some-college, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States,<=50K
38, Self-emp-inc,141584, HS-grad, Divorced, Sales, Unmarried, White, Male,0,0,55, United-States,<=50K
48, Self-emp-not-inc,97883, HS-grad, Separated, Other-service, Other-relative, White, Female,0,0,25, United-States,<=50K
37, Private,206888, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,<=50K
20, Private,115057, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=50K
39, State-gov,343646, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, Mexico,>50K
57, Private,365683, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,>50K
28, Private,296450, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=50K
53, Private,139671, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States,>50K
